20 100	50
80 240	59
80 360	74
100 440	83
160 20	92
160 140	52
180 460	53
200 300	51
200 320	92
280 420	82
280 500	91
300 360	55
320 420	78
360 80	67
380 340	90
400 400	58
420 60	91
440 80	88
440 160	83
440 380	70
460 300	65
460 340	74
480 20	89
500 500	80
340 80	66
360 440	94
260 220	85
500 200	57
180 340	53
20 440	67
320 500	63
400 340	70
80 40	86
420 140	66
160 500	63
280 300	97
80 380	70
60 300	86
180 240	60
140 60	92
240 120	70
500 300	51
340 300	75
60 40	86
120 280	59
220 480	75
240 500	64
300 80	78
180 320	91
40 400	92
20 460	64
200 40	82
280 400	56
360 20	87
500 80	72
440 60	55
220 500	84
240 180	80
40 340	66
260 380	56
140 360	53
60 180	59
80 180	97
220 320	98
440 220	75
260 100	98
340 500	79
40 300	69
