40 380	20 200
60 200	40 100
180 420	40 480
240 160	80 220
260 60	100 100
100 320	100 300
320 300	140 320
300 380	160 320
80 20	200 20
320 120	200 160
340 20	220 80
380 240	220 200
140 240	240 200
340 400	320 260
400 320	320 360
360 400	320 480
260 20	380 40
280 60	380 60
400 300	400 380
420 360	480 240
360 320	500 340
80 260	80 440
260 500	120 480
240 460	120 500
180 280	60 360
120 260	20 320
100 40	40 120
160 40	240 100
320 60	180 60
280 100	140 100
300 200	360 100
500 100	340 120
340 440	420 400
340 140	480 220
80 340	20 480
60 340	100 420
60 400	40 440
120 240	120 300
160 160	240 140
440 140	300 40
200 100	180 80
40 80	160 80
480 160	300 140
240 360	100 380
420 500	400 500
380 80	420 240
440 300	320 320
120 220	60 240
500 380	380 320
140 200	60 320
40 160	60 20
